-----------------------------------------------------------
line,col,  node
1020, 28,                      TEXT
1020, 44,                    br
1021,  1,                    a
1021, 31,                      TEXT
1021, 50,                    br
1022,  1,                    a
1022, 34,                      TEXT
1022, 56,                    br
1023,  1,                    a
1023, 32,                      TEXT
1023, 52,                    br
1024,  1,                    a
1024, 31,                      TEXT
1024, 51,                    br
1025,  1,                    a
1025, 28,                      TEXT
1025, 44,                    br
1028,  1,                div
1029,  1,                  div
1030,  1,                    h4
1030,  5,                      TEXT
1031,  1,                    a
1031, 29,                      TEXT
1031, 47,                    br
1032,  1,                    a
1032, 31,                      TEXT
1032, 48,                    br
1033,  1,                    a
1033, 30,                      TEXT
1033, 54,                    br
1034,  1,                    a
1034, 33,                      TEXT
1034, 55,                    br
1035,  1,                    a
1035, 39,                      TEXT
1035, 51,                    br
1036,  1,                    a
1036, 34,                      TEXT
1036, 51,                    br
1037,  1,                    a
1037, 44,                      TEXT
1037, 64,                    br
1038,  1,                    a
1038, 36,                      TEXT
1038, 51,                    br
1039,  1,                    a
1039, 33,                      TEXT
1039, 56,                    br
1040,  1,                    a
1040, 33,                      TEXT
1040, 50,                    br
1043,  1,                div
1044,  1,                  div
1045,  1,                    h4
1045,  5,                      TEXT
1046,  1,                    a
1046, 35,                      TEXT
1046, 52,                    br
1047,  1,                    a
1047, 33,                      TEXT
1047, 49,                    br
1048,  1,                    a
1048, 31,                      TEXT
1048, 54,                    br
1049,  1,                    a
1049, 35,                      TEXT
1049, 56,                    br
1050,  1,                    a
1050, 33,                      TEXT
1050, 49,                    br
1051,  1,                    a
1051, 39,                      TEXT
1051, 58,                    br
1052,  1,                    a
1052, 33,                      TEXT
1052, 49,                    br
1053,  1,                    a
1053, 33,                      TEXT
1053, 49,                    br
1054,  1,                    a
1054, 33,                      TEXT
1057,  1,                div
1058,  1,                  div
1059,  1,                    h4
1059,  5,                      TEXT
1060,  1,                    a
1060, 29,                      TEXT
1060, 49,                    br
1061,  1,                    a
1061, 29,                      TEXT
1061, 50,                    br
1062,  1,                    a
1062, 29,                      TEXT
1062, 48,                    br
1063,  1,                    a
1063, 29,                      TEXT
1063, 55,                    br
1064,  1,                    a
1064, 29,                      TEXT
1064, 51,                    br
1065,  1,                    a
1065, 29,                      TEXT
1065, 48,                    br
1066,  1,                    a
1066, 29,                      TEXT
1066, 54,                    br
1067,  1,                    a
1067, 29,                      TEXT
1067, 48,                    br
1072,  1,              hr
1073,  1,              div
1074,  1,                TEXT
1076, 64,                a
1076,101,                  TEXT
1076,117,                TEXT
1077,  1,                a
1077, 36,                  TEXT
1077, 65,                TEXT
1078,  1,                a
1078, 38,                  TEXT
1078, 62,                TEXT
1078, 99,                br
1078,103,                br
1079,  1,                a
1080,  1,                  img
1082,  1,              br
1082,  5,              br
1087,  1,        div
1088,  1,          span
1088, 83,            TEXT
1089,  1,          div
1090,  1,            div
1091,  1,              h3
1091,  5,                TEXT
1092,  1,              a
1092, 29,                TEXT
1093,  1,              a
1093, 28,                TEXT
1094,  1,              a
1094, 30,                TEXT
1095,  1,              a
1095, 34,                TEXT
1096,  1,              a
1096, 35,                TEXT
1098,  1,            div
1099,  1,              h3
1099,  5,                TEXT
1100,  1,              a
1100, 27,                TEXT
1101,  1,              a
1101, 31,                TEXT
1102,  1,              a
1102, 37,                TEXT
1103,  1,              a
1103, 30,                TEXT
1104,  1,              a
1104, 32,                TEXT
1105,  1,              a
1105, 29,                TEXT
1106,  1,              a
1106, 29,                TEXT
1108,  1,            div
1109,  1,              h3
1109,  5,                TEXT
1110,  1,              a
1110, 31,                TEXT
1111,  1,              a
1111, 28,                TEXT
1112,  1,              a
1112, 30,                TEXT
1113,  1,              a
1113, 34,                TEXT
1115,  1,            div
1116,  1,              h3
1116,  5,                TEXT
1117,  1,              a
1117, 28,                TEXT
1118,  1,              a
1118, 28,                TEXT
1119,  1,              a
1119, 28,                TEXT
1120,  1,              a
1120, 31,                TEXT
1122,  1,            div
1123,  1,              h3
1123,  5,                TEXT
1124,  1,              a
1124, 32,                TEXT
1125,  1,              a
1125, 33,                TEXT
1126,  1,              a
1126, 29,                TEXT
1128,  1,            div
1129,  1,              h3
1129,  5,                TEXT
1130,  1,              a
1130, 28,                TEXT
1131,  1,              a
1131, 31,                TEXT
1132,  1,              a
1132, 28,                TEXT
1136,  1,        div
1137,  1,          span
1137, 84,            TEXT
1138,  1,          div
1139,  1,            div
1140,  1,              h3
1140,  5,                TEXT
1141,  1,              a
1141, 29,                TEXT
1142,  1,              a
1142, 41,                TEXT
1143,  1,              a
1143, 36,                TEXT
1145,  1,            div
1146,  1,              h3
1146,  5,                TEXT
1147,  1,              a
1147, 31,                TEXT
1148,  1,              a
1148, 37,                TEXT
1149,  1,              a
1149, 39,                TEXT
1150,  1,              a
1150, 49,                TEXT
1152,  1,            div
1153,  1,              h3
1153,  5,                TEXT
1154,  1,              a
1154, 30,                TEXT
1155,  1,              a
1155, 30,                TEXT
1156,  1,              a
1156, 44,                TEXT
1157,  1,              a
1157, 51,                TEXT
1158,  1,              a
1158, 42,                TEXT
1160,  1,            div
1161,  1,              h3
1161,  5,                TEXT
1162,  1,              a
1162, 34,                TEXT
1163,  1,              a
1163, 33,                TEXT
1164,  1,              a
1164, 37,                TEXT
1165,  1,              a
1165, 44,                TEXT
1166,  1,              a
1166, 46,                TEXT
1168,  1,            div
1169,  1,              h3
1169,  5,                TEXT
1170,  1,              a
1170, 33,                TEXT
1171,  1,              a
1171, 38,                TEXT
1172,  1,              a
1172, 43,                TEXT
1173,  1,              a
1173, 34,                TEXT
1175,  1,            div
1176,  1,              h3
1176,  5,                TEXT
1177,  1,              a
1177, 33,                TEXT
1178,  1,              a
1178, 40,                TEXT
1179,  1,              a
1179, 39,                TEXT
1180,  1,              a
1180, 39,                TEXT
1181,  1,              a
1181, 39,                TEXT
1182,  1,              a
1182, 42,                TEXT
1183,  1,              a
1183, 39,                TEXT
1187,  1,        div
1188,  1,          span
1188, 82,            TEXT
1189,  1,          div
1190,  1,            div
1191,  1,              h3
1191,  5,                TEXT
1192,  1,              a
1192, 35,                TEXT
1193,  1,              a
1193, 33,                TEXT
1194,  1,              a
1194, 37,                TEXT
1196,  1,            div
1197,  1,              h3
1197,  5,                TEXT
1198,  1,              a
1198, 45,                TEXT
1199,  1,              a
1199, 49,                TEXT
1200,  1,              a
1200, 53,                TEXT
1201,  1,              a
1201, 65,                TEXT
1202,  1,              a
1202, 55,                TEXT
1203,  1,              a
1203, 49,                TEXT
1205,  1,            div
1206,  1,              h3
1206,  5,                TEXT
1207,  1,              a
1207, 47,                TEXT
1208,  1,              a
1208, 47,                TEXT
1209,  1,              a
1209, 55,                TEXT
1210,  1,              a
1210, 53,                TEXT
1212,  1,            div
1213,  1,              h3
1213,  5,                TEXT
1214,  1,              a
1214, 47,                TEXT
1215,  1,              a
1215, 47,                TEXT
1216,  1,              a
1216, 47,                TEXT
1217,  1,              a
1217, 49,                TEXT
1218,  1,              a
1218, 52,                TEXT
1219,  1,              a
1219, 47,                TEXT
1223,  1,        div
1224,  1,          span
1224, 83,            TEXT
1225,  1,          br
1225,  5,          br
1225,  9,          TEXT
1226,  1,          div
1227,  1,          br
1229,  1,        div
1230,  1,          span
1230, 80,            TEXT
1231,  1,          br
1231,  5,          br
1232,  1,          div
1233,  1,            TEXT
1234,  1,            div
1234, 24,              div
1234, 44,                div
1234, 92,                  div
1234,139,                    form
1234,212,                      table
1234,274,                        tbody
1234,281,                          tr
1234,285,                            td
1234,307,                              div
1234,350,                                table
1234,454,                                  tbody
1234,461,                                    tr
1234,465,                                      td
1234,498,                                        input
1234,874,                                      td
1234,893,                                        div
1234,936,                                          a
1234,003,                                            span
1234,037,                                              TEXT
1234,087,                              input
1234,147,                            td
1234,177,                              input
1234,323,                            td
1234,352,                              div
1234,404,                                TEXT
1234,442,                      table
1234,502,                        tbody
1234,509,                          tr
1234,513,                            td
1234,556,                            td
1234,586,                              div
1234,617,                                TEXT
1234,638,                            td
1234,667,                              img
1234,781,                    div
1234,822,                      div
1234,876,                      div
1234,911,                        div
1234,970,                          TEXT
1234,989,                        span
1234,027,                      div
1234,068,                      div
1234,114,                        table
1234,194,                          tbody
1234,201,                            tr
1234,205,                              td
1234,243,                                div
1234,320,                      div
1234,360,                      div
1234,385,                        div
1234,425,                        div
1234,463,                          div
1234,519,                            table
1234,584,                              tbody
1234,591,                                tr
1234,595,                                  td
1234,629,                                    div
1234,654,                                      div
1234,677,                                        TEXT
1234,692,                                    div
1234,721,                                    div
1234,778,                                      div
1234,850,                                        TEXT
1234,862,                                      div
1234,938,                                        TEXT
1234,950,                                      div
1234,024,                                        TEXT
1234,047,                                  td
1234,105,                            div
1234,110,                              div
1234,177,                    div
1236,  1,          br
1238,  1,        script
1239,  1,        COMMENT
1243,  1,        table
1243,140,          tbody
1243,147,            tr
1243,151,              td
1243,175,              td
[Finished in 0.3s]
